r -> 4
rb -> 4
u -> 4
ub -> 4
l -> 4
lb -> 4
d -> 4
db -> 4
f -> 4
fb -> 4
b -> 4
bb -> 4
r -> 4
rb -> 4
u -> 4
ub -> 4
l -> 4
lb -> 4
d -> 4
db -> 4
f -> 4
fb -> 4
b -> 4
bb -> 4
rb lb l -> 12
rb lb lb -> 12
rb lb d -> 270
rb lb db -> 270
rb lb f -> 270
rb lb fb -> 270
rb lb b -> 270
rb lb bb -> 270
rb d r -> 12
rb d rb -> 90
rb d u -> 270
rb d ub -> 540
rb d l -> 540
rb d lb -> 270
rb d d -> 90
rb d db -> 12
rb d f -> 1080
rb d fb -> 180
rb d b -> 180
rb d bb -> 1080
rb db r -> 12
rb db rb -> 90
rb db u -> 540
rb db ub -> 270
rb db l -> 540
rb db lb -> 270
rb db d -> 12
rb db db -> 90
rb db f -> 180
rb db fb -> 240
rb db b -> 1080
rb db bb -> 252
rb f r -> 12
rb f rb -> 90
rb f u -> 1080
rb f ub -> 180
rb f l -> 540
rb f lb -> 270
rb f d -> 180
rb f db -> 1080
rb f f -> 90
rb f fb -> 12
rb f b -> 270
rb f bb -> 540
rb fb r -> 12
rb fb rb -> 90
rb fb u -> 180
rb fb ub -> 240
rb fb l -> 540
rb fb lb -> 270
rb fb d -> 1080
rb fb db -> 252
rb fb f -> 12
rb fb fb -> 90
rb fb b -> 540
rb fb bb -> 270
rb b r -> 12
rb b rb -> 90
rb b u -> 180
rb b ub -> 1080
rb b l -> 540
rb b lb -> 270
rb b d -> 1080
rb b db -> 180
rb b f -> 270
rb b fb -> 540
rb b b -> 90
rb b bb -> 12
rb bb r -> 12
rb bb rb -> 90
rb bb u -> 1080
rb bb ub -> 252
rb bb l -> 540
rb bb lb -> 270
rb bb d -> 180
rb bb db -> 240
rb bb f -> 540
rb bb fb -> 270
rb bb b -> 12
rb bb bb -> 90
u r r -> 90
u r rb -> 12
u r u -> 90
u r ub -> 12
u r l -> 270
u r lb -> 540
u r d -> 270
u r db -> 540
u r f -> 252
u r fb -> 1080
u r b -> 240
u r bb -> 180
u rb r -> 12
u rb rb -> 90
u rb u -> 90
u rb ub -> 12
u rb l -> 540
u rb lb -> 270
u rb d -> 270
u rb db -> 540
u rb f -> 1080
u rb fb -> 180
u rb b -> 180
u rb bb -> 1080
u u r -> 90
u u rb -> 90
u u u -> 12
u u ub -> 12
u u l -> 90
u u lb -> 90
u u d -> 12
u u db -> 12
u u f -> 90
u u fb -> 90
u u b -> 90
u u bb -> 90
u ub r -> 12
u ub rb -> 12
u ub u -> 12
u ub ub -> 12
u ub l -> 12
u ub lb -> 12
u ub d -> 12
u ub db -> 12
u ub f -> 12
u ub fb -> 12
u ub b -> 12
u ub bb -> 12
u l r -> 270
u l rb -> 540
u l u -> 90
u l ub -> 12
u l l -> 90
u l lb -> 12
u l d -> 270
u l db -> 540
u l f -> 240
u l fb -> 180
u l b -> 252
u l bb -> 1080
u lb r -> 540
u lb rb -> 270
u lb u -> 90
u lb ub -> 12
u lb l -> 12
u lb lb -> 90
u lb d -> 270
u lb db -> 540
u lb f -> 180
u lb fb -> 1080
u lb b -> 1080
u lb bb -> 180
u d r -> 270
u d rb -> 270
u d u -> 12
u d ub -> 12
u d l -> 270
u d lb -> 270
u d d -> 12
u d db -> 12
u d f -> 270
u d fb -> 270
u d b -> 270
u d bb -> 270
u db r -> 540
u db rb -> 540
u db u -> 12
u db ub -> 12
u db l -> 540
u db lb -> 540
u db d -> 12
u db db -> 12
u db f -> 540
u db fb -> 540
u db b -> 540
u db bb -> 540
u f r -> 240
u f rb -> 180
u f u -> 90
u f ub -> 12
u f l -> 252
u f lb -> 1080
u f d -> 270
u f db -> 540
u f f -> 90
u f fb -> 12
u f b -> 270
u f bb -> 540
u fb r -> 180
u fb rb -> 1080
u fb u -> 90
u fb ub -> 12
u fb l -> 1080
u fb lb -> 180
u fb d -> 270
u fb db -> 540
u fb f -> 12
u fb fb -> 90
u fb b -> 540
u fb bb -> 270
u b r -> 252
u b rb -> 1080
u b u -> 90
u b ub -> 12
u b l -> 240
u b lb -> 180
u b d -> 270
u b db -> 540
u b f -> 270
u b fb -> 540
u b b -> 90
u b bb -> 12
u bb r -> 1080
u bb rb -> 180
u bb u -> 90
u bb ub -> 12
u bb l -> 180
u bb lb -> 1080
u bb d -> 270
u bb db -> 540
u bb f -> 540
u bb fb -> 270
u bb b -> 12
u bb bb -> 90
ub r r -> 90
ub r rb -> 12
ub r u -> 12
ub r ub -> 90
ub r l -> 270
ub r lb -> 540
ub r d -> 540
ub r db -> 270
ub r f -> 1080
ub r fb -> 180
ub r b -> 180
ub r bb -> 1080
ub rb r -> 12
ub rb rb -> 90
ub rb u -> 12
ub rb ub -> 90
ub rb l -> 540
ub rb lb -> 270
ub rb d -> 540
ub rb db -> 270
ub rb f -> 180
ub rb fb -> 240
ub rb b -> 1080
ub rb bb -> 252
ub u r -> 12
ub u rb -> 12
ub u u -> 12
ub u ub -> 12
ub u l -> 12
ub u lb -> 12
ub u d -> 12
ub u db -> 12
ub u f -> 12
ub u fb -> 12
ub u b -> 12
ub u bb -> 12
ub ub r -> 90
ub ub rb -> 90
ub ub u -> 12
ub ub ub -> 12
ub ub l -> 90
ub ub lb -> 90
ub ub d -> 12
ub ub db -> 12
ub ub f -> 90
ub ub fb -> 90
ub ub b -> 90
ub ub bb -> 90
ub l r -> 270
ub l rb -> 540
ub l u -> 12
ub l ub -> 90
ub l l -> 90
ub l lb -> 12
ub l d -> 540
ub l db -> 270
ub l f -> 180
ub l fb -> 1080
ub l b -> 1080
ub l bb -> 180
ub lb r -> 540
ub lb rb -> 270
ub lb u -> 12
ub lb ub -> 90
ub lb l -> 12
ub lb lb -> 90
ub lb d -> 540
ub lb db -> 270
ub lb f -> 1080
ub lb fb -> 252
ub lb b -> 180
ub lb bb -> 240
ub d r -> 540
ub d rb -> 540
ub d u -> 12
ub d ub -> 12
ub d l -> 540
ub d lb -> 540
ub d d -> 12
ub d db -> 12
ub d f -> 540
ub d fb -> 540
ub d b -> 540
ub d bb -> 540
ub db r -> 270
ub db rb -> 270
ub db u -> 12
ub db ub -> 12
ub db l -> 270
ub db lb -> 270
ub db d -> 12
ub db db -> 12
ub db f -> 270
ub db fb -> 270
ub db b -> 270
ub db bb -> 270
ub f r -> 180
ub f rb -> 1080
ub f u -> 12
ub f ub -> 90
ub f l -> 1080
ub f lb -> 180
ub f d -> 540
ub f db -> 270
ub f f -> 90
ub f fb -> 12
ub f b -> 270
ub f bb -> 540
ub fb r -> 1080
ub fb rb -> 252
ub fb u -> 12
ub fb ub -> 90
ub fb l -> 180
ub fb lb -> 240
ub fb d -> 540
ub fb db -> 270
ub fb f -> 12
ub fb fb -> 90
ub fb b -> 540
ub fb bb -> 270
ub b r -> 1080
ub b rb -> 180
ub b u -> 12
ub b ub -> 90
ub b l -> 180
ub b lb -> 1080
ub b d -> 540
ub b db -> 270
ub b f -> 270
ub b fb -> 540
ub b b -> 90
ub b bb -> 12
ub bb r -> 180
ub bb rb -> 240
ub bb u -> 12
ub bb ub -> 90
ub bb l -> 1080
ub bb lb -> 252
ub bb d -> 540
ub bb db -> 270
ub bb f -> 540
ub bb fb -> 270
ub bb b -> 12
ub bb bb -> 90
l r r -> 12
l r rb -> 12
l r u -> 270
l r ub -> 270
l r l -> 12
l r lb -> 12
l r d -> 270
l r db -> 270
l r f -> 270
l r fb -> 270
l r b -> 270
l r bb -> 270
l rb r -> 12
l rb rb -> 12
l rb u -> 540
l rb ub -> 540
l rb l -> 12
l rb lb -> 12
l rb d -> 540
l rb db -> 540
l rb f -> 540
l rb fb -> 540
l rb b -> 540
l rb bb -> 540
l u r -> 270
l u rb -> 540
l u u -> 90
l u ub -> 12
l u l -> 90
l u lb -> 12
l u d -> 270
l u db -> 540
l u f -> 252
l u fb -> 1080
l u b -> 240
l u bb -> 180
l ub r -> 270
l ub rb -> 540
l ub u -> 12
l ub ub -> 90
l ub l -> 90
l ub lb -> 12
l ub d -> 540
l ub db -> 270
l ub f -> 1080
l ub fb -> 180
l ub b -> 180
l ub bb -> 1080
l l r -> 12
l l rb -> 12
l l u -> 90
l l ub -> 90
l l l -> 12
l l lb -> 12
l l d -> 90
l l db -> 90
l l f -> 90
l l fb -> 90
l l b -> 90
l l bb -> 90
l lb r -> 12
l lb rb -> 12
l lb u -> 12
l lb ub -> 12
l lb l -> 12
l lb lb -> 12
l lb d -> 12
l lb db -> 12
l lb f -> 12
l lb fb -> 12
l lb b -> 12
l lb bb -> 12
l d r -> 270
l d rb -> 540
l d u -> 270
l d ub -> 540
l d l -> 90
l d lb -> 12
l d d -> 90
l d db -> 12
l d f -> 240
l d fb -> 180
l d b -> 252
l d bb -> 1080
l db r -> 270
l db rb -> 540
l db u -> 540
l db ub -> 270
l db l -> 90
l db lb -> 12
l db d -> 12
l db db -> 90
l db f -> 180
l db fb -> 1080
l db b -> 1080
l db bb -> 180
l f r -> 270
l f rb -> 540
l f u -> 240
l f ub -> 180
l f l -> 90
l f lb -> 12
l f d -> 252
l f db -> 1080
l f f -> 90
l f fb -> 12
l f b -> 270
l f bb -> 540
l fb r -> 270
l fb rb -> 540
l fb u -> 180
l fb ub -> 1080
l fb l -> 90
l fb lb -> 12
l fb d -> 1080
l fb db -> 180
l fb f -> 12
l fb fb -> 90
l fb b -> 540
l fb bb -> 270
l b r -> 270
l b rb -> 540
l b u -> 252
l b ub -> 1080
l b l -> 90
l b lb -> 12
l b d -> 240
l b db -> 180
l b f -> 270
l b fb -> 540
l b b -> 90
l b bb -> 12
l bb r -> 270
l bb rb -> 540
l bb u -> 1080
l bb ub -> 180
l bb l -> 90
l bb lb -> 12
l bb d -> 180
l bb db -> 1080
l bb f -> 540
l bb fb -> 270
l bb b -> 12
l bb bb -> 90
lb r r -> 12
lb r rb -> 12
lb r u -> 540
lb r ub -> 540
lb r l -> 12
lb r lb -> 12
lb r d -> 540
lb r db -> 540
lb r f -> 540
lb r fb -> 540
lb r b -> 540
lb r bb -> 540
lb rb r -> 12
lb rb rb -> 12
lb rb u -> 270
lb rb ub -> 270
lb rb l -> 12
lb rb lb -> 12
lb rb d -> 270
lb rb db -> 270
lb rb f -> 270
lb rb fb -> 270
lb rb b -> 270
lb rb bb -> 270
lb u r -> 540
lb u rb -> 270
lb u u -> 90
lb u ub -> 12
lb u l -> 12
lb u lb -> 90
lb u d -> 270
lb u db -> 540
lb u f -> 1080
lb u fb -> 180
lb u b -> 180
lb u bb -> 1080
lb ub r -> 540
lb ub rb -> 270
lb ub u -> 12
lb ub ub -> 90
lb ub l -> 12
lb ub lb -> 90
lb ub d -> 540
lb ub db -> 270
lb ub f -> 180
lb ub fb -> 240
lb ub b -> 1080
lb ub bb -> 252
lb l r -> 12
lb l rb -> 12
lb l u -> 12
lb l ub -> 12
lb l l -> 12
lb l lb -> 12
lb l d -> 12
lb l db -> 12
lb l f -> 12
lb l fb -> 12
lb l b -> 12
lb l bb -> 12
lb lb r -> 12
lb lb rb -> 12
lb lb u -> 90
lb lb ub -> 90
lb lb l -> 12
lb lb lb -> 12
lb lb d -> 90
lb lb db -> 90
lb lb f -> 90
lb lb fb -> 90
lb lb b -> 90
lb lb bb -> 90
lb d r -> 540
lb d rb -> 270
lb d u -> 270
lb d ub -> 540
lb d l -> 12
lb d lb -> 90
lb d d -> 90
lb d db -> 12
lb d f -> 180
lb d fb -> 1080
lb d b -> 1080
lb d bb -> 180
lb db r -> 540
lb db rb -> 270
lb db u -> 540
lb db ub -> 270
lb db l -> 12
lb db lb -> 90
lb db d -> 12
lb db db -> 90
lb db f -> 1080
lb db fb -> 252
lb db b -> 180
lb db bb -> 240
lb f r -> 540
lb f rb -> 270
lb f u -> 180
lb f ub -> 1080
lb f l -> 12
lb f lb -> 90
lb f d -> 1080
lb f db -> 180
lb f f -> 90
lb f fb -> 12
lb f b -> 270
lb f bb -> 540
lb fb r -> 540
lb fb rb -> 270
lb fb u -> 1080
lb fb ub -> 252
lb fb l -> 12
lb fb lb -> 90
lb fb d -> 180
lb fb db -> 240
lb fb f -> 12
lb fb fb -> 90
lb fb b -> 540
lb fb bb -> 270
lb b r -> 540
lb b rb -> 270
lb b u -> 1080
lb b ub -> 180
lb b l -> 12
lb b lb -> 90
lb b d -> 180
lb b db -> 1080
lb b f -> 270
lb b fb -> 540
lb b b -> 90
lb b bb -> 12
lb bb r -> 540
lb bb rb -> 270
lb bb u -> 180
lb bb ub -> 240
lb bb l -> 12
lb bb lb -> 90
lb bb d -> 1080
lb bb db -> 252
lb bb f -> 540
lb bb fb -> 270
lb bb b -> 12
lb bb bb -> 90
d r r -> 90
d r rb -> 12
d r u -> 270
d r ub -> 540
d r l -> 270
d r lb -> 540
d r d -> 90
d r db -> 12
d r f -> 240
d r fb -> 180
d r b -> 252
d r bb -> 1080
d rb r -> 12
d rb rb -> 90
d rb u -> 270
d rb ub -> 540
d rb l -> 540
d rb lb -> 270
d rb d -> 90
d rb db -> 12
d rb f -> 180
d rb fb -> 1080
d rb b -> 1080
d rb bb -> 180
d u r -> 270
d u rb -> 270
d u u -> 12
d u ub -> 12
d u l -> 270
d u lb -> 270
d u d -> 12
d u db -> 12
d u f -> 270
d u fb -> 270
d u b -> 270
d u bb -> 270
d ub r -> 540
d ub rb -> 540
d ub u -> 12
d ub ub -> 12
d ub l -> 540
d ub lb -> 540
d ub d -> 12
d ub db -> 12
d ub f -> 540
d ub fb -> 540
d ub b -> 540
d ub bb -> 540
d l r -> 270
d l rb -> 540
d l u -> 270
d l ub -> 540
d l l -> 90
d l lb -> 12
d l d -> 90
d l db -> 12
d l f -> 252
d l fb -> 1080
d l b -> 240
d l bb -> 180
d lb r -> 540
d lb rb -> 270
d lb u -> 270
d lb ub -> 540
d lb l -> 12
d lb lb -> 90
d lb d -> 90
d lb db -> 12
d lb f -> 1080
d lb fb -> 180
d lb b -> 180
d lb bb -> 1080
d d r -> 90
d d rb -> 90
d d u -> 12
d d ub -> 12
d d l -> 90
d d lb -> 90
d d d -> 12
d d db -> 12
d d f -> 90
d d fb -> 90
d d b -> 90
d d bb -> 90
d db r -> 12
d db rb -> 12
d db u -> 12
d db ub -> 12
d db l -> 12
d db lb -> 12
d db d -> 12
d db db -> 12
d db f -> 12
d db fb -> 12
d db b -> 12
d db bb -> 12
d f r -> 252
d f rb -> 1080
d f u -> 270
d f ub -> 540
d f l -> 240
d f lb -> 180
d f d -> 90
d f db -> 12
d f f -> 90
d f fb -> 12
d f b -> 270
d f bb -> 540
d fb r -> 1080
d fb rb -> 180
d fb u -> 270
d fb ub -> 540
d fb l -> 180
d fb lb -> 1080
d fb d -> 90
d fb db -> 12
d fb f -> 12
d fb fb -> 90
d fb b -> 540
d fb bb -> 270
d b r -> 240
d b rb -> 180
d b u -> 270
d b ub -> 540
d b l -> 252
d b lb -> 1080
d b d -> 90
d b db -> 12
d b f -> 270
d b fb -> 540
d b b -> 90
d b bb -> 12
d bb r -> 180
d bb rb -> 1080
d bb u -> 270
d bb ub -> 540
d bb l -> 1080
d bb lb -> 180
d bb d -> 90
d bb db -> 12
d bb f -> 540
d bb fb -> 270
d bb b -> 12
d bb bb -> 90
db r r -> 90
db r rb -> 12
db r u -> 540
db r ub -> 270
db r l -> 270
db r lb -> 540
db r d -> 12
db r db -> 90
db r f -> 180
db r fb -> 1080
db r b -> 1080
db r bb -> 180
db rb r -> 12
db rb rb -> 90
db rb u -> 540
db rb ub -> 270
db rb l -> 540
db rb lb -> 270
db rb d -> 12
db rb db -> 90
db rb f -> 1080
db rb fb -> 252
db rb b -> 180
db rb bb -> 240
db u r -> 540
db u rb -> 540
db u u -> 12
db u ub -> 12
db u l -> 540
db u lb -> 540
db u d -> 12
db u db -> 12
db u f -> 540
db u fb -> 540
db u b -> 540
db u bb -> 540
db ub r -> 270
db ub rb -> 270
db ub u -> 12
db ub ub -> 12
db ub l -> 270
db ub lb -> 270
db ub d -> 12
db ub db -> 12
db ub f -> 270
db ub fb -> 270
db ub b -> 270
db ub bb -> 270
db l r -> 270
db l rb -> 540
db l u -> 540
db l ub -> 270
db l l -> 90
db l lb -> 12
db l d -> 12
db l db -> 90
db l f -> 1080
db l fb -> 180
db l b -> 180
db l bb -> 1080
db lb r -> 540
db lb rb -> 270
db lb u -> 540
db lb ub -> 270
db lb l -> 12
db lb lb -> 90
db lb d -> 12
db lb db -> 90
db lb f -> 180
db lb fb -> 240
db lb b -> 1080
db lb bb -> 252
db d r -> 12
db d rb -> 12
db d u -> 12
db d ub -> 12
db d l -> 12
db d lb -> 12
db d d -> 12
db d db -> 12
db d f -> 12
db d fb -> 12
db d b -> 12
db d bb -> 12
db db r -> 90
db db rb -> 90
db db u -> 12
db db ub -> 12
db db l -> 90
db db lb -> 90
db db d -> 12
db db db -> 12
db db f -> 90
db db fb -> 90
db db b -> 90
db db bb -> 90
db f r -> 1080
db f rb -> 180
db f u -> 540
db f ub -> 270
db f l -> 180
db f lb -> 1080
db f d -> 12
db f db -> 90
db f f -> 90
db f fb -> 12
db f b -> 270
db f bb -> 540
db fb r -> 180
db fb rb -> 240
db fb u -> 540
db fb ub -> 270
db fb l -> 1080
db fb lb -> 252
db fb d -> 12
db fb db -> 90
db fb f -> 12
db fb fb -> 90
db fb b -> 540
db fb bb -> 270
db b r -> 180
db b rb -> 1080
db b u -> 540
db b ub -> 270
db b l -> 1080
db b lb -> 180
db b d -> 12
db b db -> 90
db b f -> 270
db b fb -> 540
db b b -> 90
db b bb -> 12
db bb r -> 1080
db bb rb -> 252
db bb u -> 540
db bb ub -> 270
db bb l -> 180
db bb lb -> 240
